packets_per_sec,avg_packet_size
20,335.65
34,318.4117647058824
41,278.9268292682927
47,676.2127659574468
47,713.7659574468086
54,1763.7592592592594
50,1005.78
49,700.2448979591836
48,579.4166666666666
48,1117.7291666666667
49,866.5918367346939
54,1065.4444444444443
55,1204.6727272727273
45,681.0888888888888
37,931.0
50,738.3
49,556.2244897959183
48,678.75
47,616.4042553191489
51,990.8627450980392
46,803.5
48,1044.1875
58,1135.9655172413793
49,722.2244897959183
50,645.12
46,763.5217391304348
45,899.0444444444445
50,819.18
53,901.9056603773585
105,1786.4571428571428
79,1571.746835443038
44,1000.9772727272727
60,1019.7666666666667
70,1265.1142857142856
61,1062.8360655737704
96,1656.4791666666667
56,968.0892857142857
50,765.52
47,506.27659574468083
45,1043.7555555555555
47,822.9148936170212
42,561.8809523809524
44,588.5681818181819
49,715.0204081632653
50,753.58
43,365.5581395348837
60,1108.25
67,1211.044776119403
72,1261.013888888889
56,1203.5
65,1314.446153846154
60,1373.5666666666666
68,1250.4411764705883
56,1126.9642857142858
43,579.7906976744187
63,1183.984126984127
57,1021.2982456140351
49,676.7755102040817
38,759.1842105263158
47,654.9787234042553
40,892.575
44,908.2727272727273
51,996.5098039215686
49,1022.204081632653
50,737.32
53,883.3396226415094
48,722.4583333333334
49,799.2244897959183
60,1179.6
64,1136.765625
54,972.6296296296297
46,658.6521739130435
46,743.9782608695652
44,1176.4545454545455
55,1378.4363636363637
68,1356.8382352941176
64,1476.96875
42,398.8095238095238
48,667.875
47,647.4255319148937
45,685.8444444444444
70,1433.0
96,1605.3020833333333
76,1492.1315789473683
72,1186.2222222222222
66,1152.0454545454545
50,617.22
52,763.3653846153846
42,672.4047619047619
41,636.5853658536586
41,545.3170731707318
44,587.3863636363636
38,577.0526315789474
42,514.5714285714286
39,674.8974358974359
42,813.3333333333334
33,814.5454545454545
45,535.4666666666667
55,1280.9636363636364
54,904.0
49,1052.6938775510205
59,1491.1525423728813
54,1363.2592592592594
57,922.6491228070175
65,1234.9384615384615
45,585.9777777777778
72,1373.6666666666667
87,1564.3908045977012
87,1540.1724137931035
45,499.4
55,902.8909090909091
64,1233.796875
61,1305.5901639344263
60,1402.6666666666667
62,1157.3387096774193
54,1157.1296296296296
53,1349.1509433962265
46,574.2608695652174
24,734.0416666666666
23,614.7826086956521
37,1093.7027027027027
50,1547.08
50,1334.92
55,1464.7454545454545
52,1354.3076923076924
35,1217.5428571428572
39,1239.0
55,1561.490909090909
37,1089.2432432432433
32,884.28125
38,1130.1315789473683
33,1277.6969696969697
32,1111.28125
53,1401.9245283018868
39,1255.5641025641025
33,980.0
33,901.2727272727273
35,1117.7142857142858
31,803.9677419354839
28,1145.2857142857142
29,945.6206896551724
41,1269.9024390243903
34,1132.1764705882354
45,1322.5777777777778
43,1235.9767441860465
32,1050.5
33,939.939393939394
33,1186.6969696969697
41,1154.2682926829268
33,1076.6969696969697
43,1308.4418604651162
119,2052.4957983193276
42,1234.2857142857142
36,1228.5555555555557
52,1477.8076923076924
50,1532.76
63,1853.857142857143
69,1773.072463768116
32,981.9375
33,1048.6060606060605
36,1071.3055555555557
29,1049.896551724138
35,1065.8285714285714
31,736.9354838709677
32,821.21875
39,1164.8461538461538
29,796.9310344827586
36,1091.0555555555557
53,1390.7358490566037
50,1364.86
60,1557.45
45,1518.0222222222221
55,1402.1272727272728
53,1410.0377358490566
57,1555.8245614035088
39,1230.2051282051282
32,849.0625
52,1714.7307692307693
37,1131.054054054054
30,992.6333333333333
29,970.551724137931
36,1100.0277777777778
32,948.375
40,1393.325
38,1315.3684210526317
36,1037.4166666666667
38,1209.921052631579
31,990.7096774193549
31,1173.483870967742
39,1308.2307692307693
51,1383.5686274509803
46,1381.4130434782608
38,1154.1315789473683
30,1228.7333333333333
23,1010.2608695652174
46,1552.0434782608695
55,1410.581818181818
65,1771.3538461538462
38,1267.7105263157894
24,668.0833333333334
35,1016.4285714285714
34,886.0
45,1342.0444444444445
63,1686.968253968254
77,1878.935064935065
67,1506.134328358209
58,1358.5
56,1338.5357142857142
28,769.4285714285714
35,1083.6285714285714
35,780.9428571428572
30,743.8666666666667
28,944.0357142857143
27,733.8518518518518
24,900.2083333333334
25,821.16
30,1010.6333333333333
34,931.9411764705883
33,918.0
35,1216.5714285714287
43,1517.953488372093
33,1093.3636363636363
54,1322.8333333333333
45,1388.3555555555556
48,1536.3333333333333
44,1212.8181818181818
48,1526.9375
31,879.5483870967741
78,1673.0897435897436
74,1854.0675675675675
58,1724.8620689655172
24,838.375
47,1317.0851063829787
57,1445.017543859649
57,1396.842105263158
58,1449.344827586207
52,1346.8461538461538
47,1348.4893617021276
40,1346.05
21,1062.4761904761904
17,884.9411764705883
17,616.8823529411765
40,1604.0
41,1670.2682926829268
47,1474.5106382978724
53,1685.6792452830189
36,1506.9722222222222
28,1319.75
41,1609.341463414634
48,1549.875
28,1215.642857142857
25,1086.36
32,1432.96875
25,1521.36
39,1537.2820512820513
39,1543.179487179487
26,1380.576923076923
32,1284.0625
26,1261.5
28,1045.4642857142858
21,1101.3809523809523
30,1145.3333333333333
24,1034.3333333333333
38,1538.1315789473683
28,1342.857142857143
44,1586.2272727272727
29,1240.2413793103449
26,1406.5
26,1156.1923076923076
27,1415.5185185185185
36,1318.6944444444443
30,1291.9333333333334
54,1907.462962962963
103,2103.4174757281553
26,1321.0384615384614
31,1275.9354838709678
60,1692.3
31,1519.8064516129032
59,1970.5084745762713
58,2126.206896551724
27,1122.4074074074074
28,1241.8214285714287
33,1263.3333333333333
25,1137.88
31,1179.8064516129032
25,919.2
24,1090.75
31,1378.1935483870968
20,1034.55
32,1528.8125
39,1589.7435897435898
54,1699.2777777777778
50,1608.4
45,1643.7333333333333
54,1530.7222222222222
46,1652.1304347826087
53,1638.132075471698
28,1042.607142857143
25,1026.64
53,1844.4905660377358
30,1220.3
22,1190.909090909091
25,1161.36
31,1360.516129032258
25,1302.88
34,1514.5
36,1396.4166666666667
28,1335.142857142857
32,1414.40625
27,1211.7037037037037
31,1176.5483870967741
38,1447.0526315789473
50,1511.66
37,1438.945945945946
31,1253.0
27,1317.0
21,1099.7142857142858
57,1555.7543859649122
50,1558.24
58,1873.4827586206898
29,1243.7931034482758
21,1204.5714285714287
25,1053.12
27,1206.5555555555557
47,1609.6382978723404
68,1841.264705882353
70,1886.857142857143
56,1713.5892857142858
49,1515.5102040816328
42,1397.5
25,1120.12
27,1221.851851851852
26,984.9230769230769
22,998.0909090909091
26,987.3461538461538
19,1060.578947368421
22,913.2727272727273
25,830.28
28,1223.392857142857
26,1121.2307692307693
26,1102.0
31,1649.258064516129
39,1521.025641025641
31,1309.967741935484
53,1617.8301886792453
38,1470.578947368421
45,1715.4
40,1558.925
30,1636.7
23,940.7391304347826
81,1946.5432098765432
75,2016.2933333333333
37,1572.1081081081081
22,870.1363636363636
53,1573.0
51,1581.5098039215686
52,1627.2115384615386
47,1492.936170212766
41,1619.0
43,1584.7209302325582
28,1398.25
20,1001.9
17,930.0588235294117
15,876.2
42,1858.7619047619048
40,1622.525
47,1644.4893617021276
51,1788.686274509804
23,1470.391304347826
25,1357.44
48,1732.6041666666667
36,1727.8333333333333
25,1271.72
21,1270.047619047619
33,1530.6666666666667
27,1576.888888888889
31,1673.5483870967741
40,1658.275
26,1229.3461538461538
28,1287.5714285714287
26,1366.3461538461538
23,1130.2173913043478
24,1372.375
24,1097.5416666666667
31,1568.4516129032259
24,1457.9166666666667
27,1310.888888888889
46,1683.4347826086957
22,1388.5
25,1399.08
28,1349.5357142857142
30,1288.9333333333334
29,1429.7931034482758
28,1516.2142857142858
83,2046.5903614457832
68,2052.485294117647
30,1504.5333333333333
33,1599.3333333333333
50,1894.28
32,1489.75
77,2082.3506493506493
39,1715.3846153846155
19,1306.7894736842106
26,1368.2692307692307
30,1469.7
27,1425.4814814814815
22,1066.5
21,1129.7142857142858
25,1373.6
24,1385.0833333333333
16,1180.0625
33,1766.060606060606
43,1536.6511627906978
56,1748.4464285714287
42,1662.6666666666667
51,1710.2549019607843
50,1547.42
47,1762.404255319149
46,1600.4130434782608
19,1157.842105263158
39,1598.6410256410256
41,1687.1463414634147
26,1209.3846153846155
19,1035.7368421052631
27,1357.037037037037
27,1419.5555555555557
26,1390.1153846153845
34,1462.0
29,1773.0
27,1261.962962962963
33,1379.5757575757575
26,1255.7307692307693
26,1464.576923076923
37,1687.972972972973
47,1640.404255319149
35,1583.9142857142858
24,1256.125
26,1259.8076923076924
28,1586.392857142857
44,1678.3181818181818
50,1788.92
51,1850.0392156862745
22,1164.409090909091
22,1225.4545454545455
29,1089.6896551724137
25,1086.84
53,1749.9622641509434
76,1948.3815789473683
59,1924.4915254237287
56,1640.142857142857
45,1558.2888888888888
29,1451.8275862068965
28,1215.357142857143
25,1222.0
23,1077.5652173913043
19,1067.8947368421052
21,1196.2857142857142
21,1032.7142857142858
20,977.0
17,1168.8823529411766
28,1380.2857142857142
23,1170.2173913043478
21,1162.095238095238
38,1724.3157894736842
32,1533.96875
34,1376.5588235294117
49,1776.1632653061224
34,1534.235294117647
44,1696.8863636363637
41,1644.4146341463415
28,1468.9642857142858
49,1768.1224489795918
67,2006.358208955224
69,2094.753623188406
20,1034.1
28,1445.0
47,1644.1702127659576
49,1612.6530612244899
51,1801.5098039215686
43,1644.8139534883721
38,1638.1315789473683
46,1656.8478260869565
15,1161.4666666666667
17,1202.0588235294117
14,1070.642857142857
24,1253.7083333333333
43,1728.6744186046512
40,1624.95
51,1679.7450980392157
42,1760.357142857143
27,1677.2962962962963
25,1497.84
48,1855.4375
25,1477.76
23,1462.4347826086957
24,1109.4166666666667
35,1601.5714285714287
25,1585.92
41,1616.8048780487804
33,1696.4848484848485
24,1269.375
26,1242.9615384615386
25,1458.4
18,1342.8333333333333
25,1345.4
21,1197.3809523809523
31,1668.9032258064517
27,1390.6296296296296
36,1542.861111111111
33,1739.5757575757575
22,1591.909090909091
22,1256.6363636363637
20,1584.5
29,1424.4137931034484
30,1367.2
32,1695.375
100,2169.81
46,1871.1304347826087
27,1590.7407407407406
35,1787.6857142857143
44,1866.6818181818182
48,1868.0
72,2023.5694444444443
28,1487.1785714285713
24,1445.3333333333333
19,1186.9473684210527
32,1455.03125
25,1514.28
19,1162.4736842105262
21,1220.904761904762
26,1672.1538461538462
22,1158.6818181818182
22,1542.409090909091
40,1874.85
38,1614.8684210526317
49,1734.5510204081634
37,1769.7297297297298
49,1733.142857142857
45,1694.7555555555555
46,1877.2608695652175
36,1583.4722222222222
23,1181.7826086956522
43,1890.139534883721
30,1657.4666666666667
22,1316.1363636363637
23,1240.608695652174
23,1373.304347826087
21,1467.952380952381
27,1615.7407407407406
38,1629.3684210526317
26,1518.5384615384614
25,1236.56
32,1451.90625
27,1367.9259259259259
